,name,class01,class02,city,county,askContent,askLen,askTime,ansOrNot,ansDpt,ansContent,ansLen,ansTime,ansDpt2,ansContent2,ansLen2,ansTime2,scUrl,askCon_cutted,ansCon_cutted,tfidf_askCon_key_word,tfidf_ansCon_key_word
0,关于企业残疾职工个税减征政策及办理,其他,咨询,成都,高新区,您好，请问四川省有没有关于残疾人职工个人所得税减征政策？如果有的话应该如何办理，咨询那个单位呢？,48,2022-03-05 22:03,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943501,您好 ， 请问 四川省 有没有 关于 残疾人 职工 个人所得税 减征 政策 ？ 如果 有 的话 应该 如何 办理 ， 咨询 那个 单位 呢 ？,,"['减征', '个人所得税', '您好']",
1,四川禾康陶瓷有限公司拖欠工资,其他,求助,自贡,市委书记范波,,0,2022-03-05 22:04,1,自贡市沿滩区信访局,已交由沿滩区人力资源和社会保障局办理。,19,2022-03-07 09:51,,,,,https://ly.scol.com.cn//thread?tid=2943502,,已 交由 沿滩区 人力资源 和 社会 保障局 办理 。,,"['沿滩区', '保障局', '交由']"
2,鱼塘拆迁征用,拆迁,咨询,巴中,恩阳区,领导你好！本人居住在恩阳区兴隆镇机场旁边，现在由于修建恩阳环线道路要占用我们家一个400多平方的鱼塘，由于之前不知道要被占用，所以在2022年1月15左右鱼塘清淤把水放了，导致现在没有把水关起来，今天得知鱼塘要被占用，上面领导下来告诉我们说赔偿是按照现在的水位赔偿，现在想咨询一下鱼塘的赔偿标准！谢谢,150,2022-03-05 22:04,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943503,领导 你好 ！ 本人 居住 在 恩阳区 兴隆 镇 机场 旁边 ， 现在 由于 修建 恩阳 环线 道路 要 占用 我们 家 一个 400 多 平方 的 鱼塘 ， 由于 之前 不 知道 要 被 占用 ， 所以 在 2022 年 1 月 15 左右 鱼塘 清淤 把 水放 了 ， 导致 现在 没有 把 水关 起来 ， 今天 得知 鱼塘 要 被 占用 ， 上面 领导 下来 告诉 我们 说 赔偿 是 按照 现在 的 水位 赔偿 ， 现在 想 咨询 一下 鱼塘 的 赔偿标准 ！ 谢谢,,"['鱼塘', '占用', '现在']",
3,农村家门口道路硬化问题,交通,咨询,广元,剑阁县,请问领导：现在农村道路大部分已经实现硬化，极大方便了群众出行，改善了乡村面貌，原本是一件利民好事，可为何白龙镇松柏村有些道路硬化到距离家门口100米左右就停止了呢，到家的最后一段路就这么困难吗？还要让村民在泥泞坑洼的道路上行走吗？是政策原因还是其他呢？,126,2022-03-05 22:08,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943504,请问 领导 ： 现在 农村 道路 大部分 已经 实现 硬化 ， 极大 方便 了 群众 出行 ， 改善 了 乡村 面貌 ， 原本 是 一件 利民 好事 ， 可 为何 白 龙镇 松柏 村 有些 道路 硬化 到 距离 家门口 100 米左右 就 停止 了 呢 ， 到家 的 最后 一段路 就 这么 困难 吗 ？ 还要 让 村民 在 泥泞 坑洼 的 道路 上 行走 吗 ？ 是 政策 原因 还是 其他 呢 ？,,"['硬化', '道路', '100']",
4,泸州市龙马潭区组组通安宁街道良丰环线公路,城建,求助,泸州,龙马潭区,本人王*在2019年7月6号至10月6号为四川省元宏建筑有限公司“泸州市龙马潭区组组通安宁街道良丰环线公路工程”退场至今，一直还有四万元工资和装载机租凭费未结给我，这两年疫情原因钱也挣不到什么，家里上有老下有小的，多次找四川元宏工程有限公司的谯总无果，这才只有想到政府帮帮忙，以解燃眉之急，肯请领导们帮帮忙，我们真的是没办法了,163,2022-03-05 22:16,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943505,本人 王 * 在 2019 年 7 月 6 号 至 10 月 6 号 为 四川省 元宏 建筑 有限公司 “ 泸州市 龙马潭区 组组 通 安宁 街道 良丰 环线 公路工程 ” 退场 至今 ， 一直 还有 四万元 工资 和 装载机 租凭 费 未结 给 我 ， 这 两年 疫情 原因 钱 也 挣 不到 什么 ， 家里 上有老下有小 的 ， 多次 找 四川 元宏 工程 有限公司 的 谯 总 无果 ， 这才 只有 想到 政府 帮帮忙 ， 以解 燃眉之急 ， 肯请 领导 们 帮帮忙 ， 我们 真的 是 没 办法 了,,"['元宏', '帮帮忙', '肯请']",
5,主城区有住房专科生落户,其他,咨询,成都,市委书记施小琳,根据成都市落户政策要求，市外专科生无法通过人才落户政策落户到主城区，就算拥有合法住房（17年12月底后购买）也不能落户，必须先通过人才落户到郊区集体户，然后再由集体户平迁转移至住房所在主城区，这样费时费力，所以我想咨询一下，在主城区有住房（暂未取得房产证，但已经入住）的专科生能否享受直接落户对应主城区，具体需要一些什么材料？,163,2022-03-05 22:22,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943506,根据 成都市 落户 政策 要求 ， 市 外 专科生 无法 通过 人才 落户 政策 落户 到 主城区 ， 就算 拥有 合法 住房 （ 17 年 12 月底 后 购买 ） 也 不能 落户 ， 必须 先 通过 人才 落户 到 郊区 集体户 ， 然后 再 由 集体户 平迁 转移 至 住房 所在 主城区 ， 这样 费时费力 ， 所以 我 想 咨询 一下 ， 在 主城区 有 住房 （ 暂未 取得 房产证 ， 但 已经 入住 ） 的 专科生 能否 享受 直接 落户 对应 主城区 ， 具体 需要 一些 什么 材料 ？,,"['落户', '主城区', '集体户']",
6,四川禾康陶瓷有限公司有意拖欠工资,其他,投诉,自贡,市长曾洪扬,,0,2022-03-05 22:27,1,自贡市沿滩区信访局,已交由沿滩区人力资源和社会保障局办理。,19,2022-03-07 09:51,,,,,https://ly.scol.com.cn//thread?tid=2943507,,已 交由 沿滩区 人力资源 和 社会 保障局 办理 。,,"['沿滩区', '保障局', '交由']"
7,成都市郫都区商贩私自损毁路肩,城建,投诉,成都,郫都区,2022年3月5日晚十点，成都市郫都区和平街至望丛中路右转路口处有商家私自损毁路肩，违法人员从倍耐力轮胎商户接出电线用角磨机切歌后用大锤砸坏路肩，擅自对公共设施进行损坏改造，现场如照片、视频证据，现对商家的违法行为进行举报。,112,2022-03-05 22:32,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943509,2022 年 3 月 5 日 晚十点 ， 成都市 郫都区 和平街 至望 丛中 路 右转 路口处 有 商家 私自 损毁 路肩 ， 违法 人员 从倍 耐力 轮胎 商户 接出 电线 用角 磨机 切歌 后 用 大锤 砸坏 路肩 ， 擅自 对 公共设施 进行 损坏 改造 ， 现场 如 照片 、 视频 证据 ， 现对 商家 的 违法行为 进行 举报 。,,"['路肩', '商家', '和平街']",
8,营业性酒馆扰民,其他,投诉,凉山,西昌市,书香苑、西警苑背后(绕城高速城北出口)路边，开了一个营业性酒馆。经常凌晨还在喝酒、吵闹，严重影响小区居民生活。,55,2022-03-05 22:42,1,凉山州12345政务服务便民热线办,您的留言已转交给相关机构进行处理，请您耐心等待回复。,26,2022-03-06 10:17,,,,,https://ly.scol.com.cn//thread?tid=2943511,书香 苑 、 西警苑 背后 ( 绕城 高速 城北 出口 ) 路边 ， 开 了 一个 营业性 酒馆 。 经常 凌晨 还 在 喝酒 、 吵闹 ， 严重 影响 小区 居民 生活 。,您 的 留言 已转 交给 相关 机构 进行 处理 ， 请 您 耐心 等待 回复 。,"['西警苑', '营业性', '书香']","['已转', '留言', '耐心']"
9,蒙阳佳兆业多久能复工,城建,求助,成都,市长王凤朝,我想问下，现在彭州蒙阳佳兆业已经停工这么久了，还不见复工，这都是老百姓的血汗钱，监管部门也不管了吗？每次都是书面回答，教科书回答。真的是够了。,71,2022-03-05 22:44,0,,,,,,,,,https://ly.scol.com.cn//thread?tid=2943512,我想 问下 ， 现在 彭州 蒙阳佳兆业 已经 停工 这么久 了 ， 还 不见 复工 ， 这 都 是 老百姓 的 血汗钱 ， 监管部门 也 不管 了 吗 ？ 每次 都 是 书面 回答 ， 教科书 回答 。 真的 是 够 了 。,,"['问下', '我想', '蒙阳佳兆业']",
