,word,num
36,青羊区,24
50,号,15
10,您好,13
68,00,13
51,028,12
47,社区卫生,12
48,服务中心,11
3,相关,10
53,30,10
211,网友,9
5,请,9
15,情况,8
13,调查,8
167,核实,7
134,感谢您,7
138,支持,7
222,收悉,7
32,咨询,7
150,中,6
2,交给,6
225,成都,6
0,留言,5
19,疫苗,5
12,高度重视,5
131,年,5
7,等待,5
61,11,4
137,关注,4
54,17,4
133,日,4
132,月,4
130,2022,4
126,成都市,4
106,转,4
228,研究,4
38,信息,4
227,业务部门,4
29,工作人员,4
17,九价,4
14,现将,4
11,我局,4
4,机构,4
280,口罩,4
24,预约,4
8,回复,4
18,HPV,4
27,接种,3
301,轨道交通,3
302,事业,3
129,局,3
149,公交,3
128,健康,3
303,理解,3
31,通知,3
223,后续,3
224,处理结果,3
254,温江区,3
230,规划,3
235,武侯区,3
69,16,3
250,10,3
141,交流,2
241,次,2
127,卫生,2
116,建议,2
102,文家,2
287,戴,2
279,佩戴,2
283,并未,2
1,已转,2
238,已于,2
87,光华,2
255,教育局,2
260,办公厅,2
268,疫情,2
216,卫生院,2
269,防控,2
277,园外,2
215,红光,2
208,到位,2
206,资金,2
201,方案,2
200,维修,2
197,建设,2
170,街道,2
91,东坡,2
163,科,2
58,附,2
6,耐心,2
55,太升,2
42,电话,2
37,预防接种,2
33,我区,2
57,18,2
77,汪家,2
16,答复,2
28,门诊,2
85,南路,2
317,消防通道,1
249,顺销,1
39,表,1
239,2020,1
240,第一批,1
242,第二批,1
243,选房,1
244,剩余,1
245,房源,1
246,商品房,1
247,购买,1
248,条件,1
35,公布,1
236,人才,1
251,知悉,1
252,住房,1
253,交通运输,1
34,咨询电话,1
322,办事处,1
256,办理,1
257,幼儿园,1
258,国家,1
259,委,1
30,先后顺序,1
261,教育部,1
237,公寓,1
40,名称,1
316,初期,1
221,计免,1
210,人员,1
56,北路,1
212,排,1
213,3528,1
214,位,1
324,贴条,1
52,8625612014,1
217,告知,1
218,致电,1
219,87985891,1
220,郫都区,1
49,万和路,1
234,信,1
46,少城,1
45,新华,1
44,工作日,1
226,正转,1
43,时间段,1
323,调节,1
229,正式,1
41,地址,1
231,自然资源,1
232,局来,1
233,话,1
262,印发,1
263,高等学校,1
264,中小学校,1
318,停放,1
292,勤洗手,1
293,米线,1
294,少,1
295,聚集,1
296,防护,1
297,措施,1
298,做,1
299,第一,1
300,责任人,1
319,车辆,1
9,来信,1
304,网民,1
265,托幼,1
305,朋友,1
306,经成华,1
307,消防,1
308,救援,1
309,大队,1
310,猛追,1
311,湾,1
312,东街,1
313,老旧,1
314,院落,1
315,建造,1
291,通风,1
290,落实,1
289,家人,1
288,人人有责,1
266,新冠,1
267,肺炎,1
321,所在地,1
26,排队,1
270,技术,1
271,第四版,1
272,国卫办,1
273,疾控,1
274,函,1
275,2021,1
276,455,1
25,登记,1
278,公共场所,1
23,提前,1
22,需,1
281,倡导,1
282,师生,1
21,需求,1
284,幼儿,1
320,占道,1
285,园内,1
286,全程,1
20,数量,1
209,安排,1
86,8732878213,1
207,未,1
74,29,1
120,敬请,1
121,谅解,1
122,技术类,1
123,监督,1
124,疾控中心,1
125,86638481,1
81,8614868214,1
80,21,1
79,拐街,1
78,中心,1
76,861379689,1
75,86137959,1
73,滨河路,1
118,对此,1
135,成华,1
136,教育,1
72,花,1
71,浣,1
139,下午,1
140,时许,1
70,草堂,1
142,沟通,1
143,知晓,1
144,若有,1
145,未尽事宜,1
146,拨打,1
119,不便,1
117,多家,1
88,青羊,1
84,锦屏,1
89,大道,1
90,873219698,1
92,玉宇,1
93,路,1
94,998,1
95,873336359,1
96,12,1
97,苏坡,1
98,培风,1
99,横街,1
100,133,1
101,8669627513,1
103,场文兴,1
82,府南,1
104,108,1
105,87071159,1
83,金沙,1
107,8288,1
108,黄田坝,1
109,成飞,1
110,黄田坝纬,1
111,四路,1
112,13,1
113,8745502413,1
114,几月,1
115,到苗,1
147,84364120,1
148,瑞联路,1
67,8651172214,1
192,现已,1
180,休息,1
181,地方,1
182,修建,1
183,敞轩,1
184,走廊,1
185,查看,1
186,现,1
187,顶棚,1
188,破损,1
189,漏水,1
190,现象,1
191,我办,1
193,上报,1
66,25,1
194,区,1
195,公园,1
196,城市,1
62,草市,1
198,城市更新,1
199,制定,1
60,191502713238,1
59,15,1
202,年底,1
203,财政,1
204,关库,1
205,预算,1
179,居民,1
178,项目,1
177,绿地,1
176,微,1
151,站,1
152,背后,1
153,访亭,1
154,长廊,1
155,主亭,1
156,棚顶,1
157,布,1
158,裂纹,1
159,漏雨,1
160,一事,1
161,街办,1
162,城管,1
65,二段,1
164,辖区,1
165,绿化,1
166,公司,1
64,中路,1
168,2018,1
169,年原,1
63,御河,1
171,清水河,1
172,社区,1
173,广场,1
174,打造,1
175,小游园,1
325,交管部门,1
