,word,num
1,您好,232
9,相关,166
0,网友,146
3,收悉,108
25,支持,87
13,调查,85
22,等待,83
14,感谢您,82
23,回复,79
24,理解,76
10,部门,72
18,交给,70
2,情况,67
82,转,66
85,成都,62
151,月,61
150,年,61
20,请,60
126,单位,59
153,日,58
426,疫苗,56
16,留言,55
149,2022,54
446,青羊区,51
84,研究,50
87,事业,50
83,业务部门,48
86,轨道交通,48
21,耐心,43
55,号,43
7,朋友,43
154,敬请,41
11,来信,40
146,咨询,39
17,已转,38
6,市民,38
210,服务中心,38
435,责任,37
8,交办,37
423,预约,36
282,工作,34
5,核实,29
432,接种,29
19,机构,29
473,00,29
457,028,28
30,现将,27
316,11,27
455,社区卫生,26
312,谢谢您,26
222,我局,25
33,卫生,24
94,答复,24
277,电话,22
425,九价,22
99,项目,21
323,工作人员,21
288,公布,21
460,17,20
459,30,19
56,中,18
286,处理完毕,18
155,转市,18
49,通知,17
862,责令,17
28,高度重视,17
465,15,16
612,人员,16
29,办理,16
93,局,16
189,时,16
439,HPV,16
474,16,15
229,时间,15
863,开展调查,15
653,期间,15
599,分,14
864,一段时间,14
307,街道,14
34,健康,14
420,天,13
170,尊敬,12
421,彭,12
422,街道社区,12
143,疑问,12
301,规划,11
44,疫情,11
101,监管,11
168,关注,11
284,公安局,11
89,新区,11
332,铁路,11
463,18,11
172,住房,10
841,教体局,10
198,需,10
378,12,10
320,平台,10
679,现场,10
165,信息,10
152,10,9
313,现,9
786,政审,9
160,中心,9
428,到货,9
289,网民,9
542,14,9
429,先后顺序,9
603,医保,9
173,公积金,9
90,责成,9
131,管理,8
327,彭州市,8
417,沟通,8
329,四川,8
220,涪城区,8
405,施工,8
433,咨询电话,8
746,点,8
646,建设,8
267,我区,8
597,已于,8
230,四川省,8
436,三台县,8
240,教育,7
445,门诊,7
379,小时,7
557,文化,7
12,转交,7
279,知晓,7
241,体育局,7
416,一步,7
424,宫颈癌,7
324,调查核实,7
114,企业,7
438,发言人,7
562,计划,7
1131,经营,7
254,告知,7
447,预防接种,6
441,需求,6
321,投诉,6
801,考核,6
434,18384175363,6
430,短信,6
431,形式,6
322,建议,6
514,13,6
569,学校,6
389,鸣笛,6
269,建议您,6
753,服务,6
81,成都市,6
751,提供,6
367,材料,6
510,黄田坝,6
